#Firmware: Speeduino 2022.04-dev
ToothTime,Time
uS,uS
1100.0,2442688.0
1076.0,2443764.0
1084.0,2444848.0
1100.0,2445948.0
1072.0,2447020.0
1092.0,2448112.0
1092.0,2449204.0
1092.0,2450296.0
1096.0,2451392.0
1088.0,2452480.0
MARK 005
992.0,2453472.0
1040.0,2454512.0
1036.0,2455548.0
1020.0,2456568.0
1040.0,2457608.0
1032.0,2458640.0
1020.0,2459660.0
1032.0,2460692.0
1024.0,2461716.0
1036.0,2462752.0
1028.0,2463780.0
3060.0,2466840.0
1016.0,2467856.0
992.0,2468848.0
1000.0,2469848.0
1028.0,2470876.0
992.0,2471868.0
1016.0,2472884.0
988.0,2473872.0
1020.0,2474892.0
992.0,2475884.0
1000.0,2476884.0
1008.0,2477892.0
988.0,2478880.0
976.0,2479856.0
1020.0,2480876.0
988.0,2481864.0
1004.0,2482868.0
980.0,2483848.0
1012.0,2484860.0
996.0,2485856.0
1008.0,2486864.0
1000.0,2487864.0
1008.0,2488872.0
1004.0,2489876.0
1004.0,2490880.0
1024.0,2491904.0
1008.0,2492912.0
1004.0,2493916.0
992.0,2494908.0
1012.0,2495920.0
996.0,2496916.0
1012.0,2497928.0
1008.0,2498936.0
1016.0,2499952.0
1016.0,2500968.0
1008.0,2501976.0
1020.0,2502996.0
1020.0,2504016.0
1000.0,2505016.0
1016.0,2506032.0
1024.0,2507056.0
1012.0,2508068.0
1024.0,2509092.0
1012.0,2510104.0
1020.0,2511124.0
1012.0,2512136.0
1012.0,2513148.0
1004.0,2514152.0
1024.0,2515176.0
1008.0,2516184.0
1016.0,2517200.0
1048.0,2518248.0
1020.0,2519268.0
1012.0,2520280.0
1032.0,2521312.0
1024.0,2522336.0
1016.0,2523352.0
1024.0,2524376.0
3044.0,2527420.0
1032.0,2528452.0
1020.0,2529472.0
1012.0,2530484.0
1024.0,2531508.0
996.0,2532504.0
1016.0,2533520.0
1024.0,2534544.0
1028.0,2535572.0
1012.0,2536584.0
996.0,2537580.0
1028.0,2538608.0
1020.0,2539628.0
1000.0,2540628.0
1016.0,2541644.0
1012.0,2542656.0
1008.0,2543664.0
1020.0,2544684.0
1008.0,2545692.0
1016.0,2546708.0
1032.0,2547740.0
1004.0,2548744.0
1036.0,2549780.0
1024.0,2550804.0
1028.0,2551832.0
1000.0,2552832.0
1028.0,2553860.0
1012.0,2554872.0
1012.0,2555884.0
1020.0,2556904.0
1024.0,2557928.0
1004.0,2558932.0
1020.0,2559952.0
1016.0,2560968.0
1016.0,2561984.0
1008.0,2562992.0
1000.0,2563992.0
1000.0,2564992.0
1024.0,2566016.0
1004.0,2567020.0
1000.0,2568020.0
1008.0,2569028.0
992.0,2570020.0
1012.0,2571032.0
1004.0,2572036.0
992.0,2573028.0
1020.0,2574048.0
1024.0,2575072.0
1004.0,2576076.0
996.0,2577072.0
1016.0,2578088.0
1020.0,2579108.0
1008.0,2580116.0
1012.0,2581128.0
1008.0,2582136.0
1016.0,2583152.0
1012.0,2584164.0
1004.0,2585168.0
MARK 006
988.0,2586156.0
1004.0,2587160.0
1004.0,2588164.0
992.0,2589156.0
1020.0,2590176.0
1012.0,2591188.0
996.0,2592184.0
1004.0,2593188.0
1008.0,2594196.0
996.0,2595192.0
1020.0,2596212.0
2996.0,2599208.0
996.0,2600204.0
1004.0,2601208.0
988.0,2602196.0
1004.0,2603200.0
988.0,2604188.0
992.0,2605180.0
992.0,2606172.0
996.0,2607168.0
988.0,2608156.0
988.0,2609144.0
984.0,2610128.0
996.0,2611124.0
964.0,2612088.0
996.0,2613084.0
976.0,2614060.0
996.0,2615056.0
976.0,2616032.0
968.0,2617000.0
992.0,2617992.0
996.0,2618988.0
984.0,2619972.0
992.0,2620964.0
980.0,2621944.0
1004.0,2622948.0
1000.0,2623948.0
988.0,2624936.0
996.0,2625932.0
972.0,2626904.0
988.0,2627892.0
1004.0,2628896.0
992.0,2629888.0
1008.0,2630896.0
976.0,2631872.0
1004.0,2632876.0
992.0,2633868.0
1000.0,2634868.0
996.0,2635864.0
992.0,2636856.0
988.0,2637844.0
992.0,2638836.0
1000.0,2639836.0
996.0,2640832.0
992.0,2641824.0
988.0,2642812.0
972.0,2643784.0
1016.0,2644800.0
952.0,2645752.0
1008.0,2646760.0
1000.0,2647760.0
988.0,2648748.0
1016.0,2649764.0
976.0,2650740.0
1000.0,2651740.0
1012.0,2652752.0
1016.0,2653768.0
984.0,2654752.0
1008.0,2655760.0
2996.0,2658756.0
1004.0,2659760.0
1008.0,2660768.0
996.0,2661764.0
1012.0,2662776.0
1020.0,2663796.0
1028.0,2664824.0
996.0,2665820.0
1040.0,2666860.0
1012.0,2667872.0
1024.0,2668896.0
1024.0,2669920.0
1024.0,2670944.0
1024.0,2671968.0
1024.0,2672992.0
1024.0,2674016.0
1036.0,2675052.0
1016.0,2676068.0
1036.0,2677104.0
1028.0,2678132.0
1036.0,2679168.0
1036.0,2680204.0
1040.0,2681244.0
1024.0,2682268.0
1056.0,2683324.0
1024.0,2684348.0
1036.0,2685384.0
1032.0,2686416.0
1024.0,2687440.0
1032.0,2688472.0
1024.0,2689496.0
1020.0,2690516.0
1016.0,2691532.0
1020.0,2692552.0
1028.0,2693580.0
1012.0,2694592.0
1020.0,2695612.0
1008.0,2696620.0
1004.0,2697624.0
1012.0,2698636.0
1016.0,2699652.0
1000.0,2700652.0
1020.0,2701672.0
996.0,2702668.0
1016.0,2703684.0
1012.0,2704696.0
996.0,2705692.0
1032.0,2706724.0
1012.0,2707736.0
1012.0,2708748.0
