#Firmware: Speeduino 2022.04-dev
PriLevel,SecLevel,Trigger,Sync,RefTime,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms,ms
1.0,1.0,0.0,1.0,250424.84,0.64,250424.84
0.0,1.0,0.0,1.0,250425.38,0.524,250425.38
1.0,1.0,0.0,1.0,250426.02,0.64,250426.02
0.0,1.0,0.0,1.0,250426.53,0.516,250426.53
1.0,1.0,0.0,1.0,250427.17,0.64,250427.17
0.0,1.0,0.0,1.0,250427.67,0.5,250427.67
1.0,1.0,0.0,1.0,250428.33,0.66,250428.33
0.0,1.0,0.0,1.0,250428.84,0.516,250428.84
1.0,1.0,0.0,1.0,250429.48,0.644,250429.48
0.0,1.0,0.0,1.0,250430.02,0.52,250430.02
1.0,1.0,0.0,1.0,250430.64,0.632,250430.64
0.0,1.0,0.0,1.0,250431.17,0.528,250431.17
1.0,1.0,0.0,1.0,250431.81,0.644,250431.81
0.0,1.0,0.0,1.0,250432.33,0.516,250432.33
1.0,1.0,0.0,1.0,250432.95,0.632,250432.95
0.0,1.0,0.0,1.0,250433.48,0.528,250433.48
1.0,1.0,0.0,1.0,250434.14,0.648,250434.14
0.0,1.0,0.0,1.0,250434.66,0.52,250434.66
1.0,1.0,0.0,1.0,250435.3,0.648,250435.3
0.0,1.0,0.0,1.0,250435.84,0.532,250435.84
1.0,1.0,0.0,1.0,250436.48,0.656,250436.48
0.0,1.0,0.0,1.0,250437.02,0.524,250437.02
1.0,1.0,0.0,1.0,250437.66,0.644,250437.66
0.0,1.0,0.0,1.0,250438.19,0.524,250438.19
1.0,1.0,0.0,1.0,250438.84,0.656,250438.84
0.0,1.0,0.0,1.0,250439.36,0.516,250439.36
1.0,1.0,0.0,1.0,250440.03,0.676,250440.03
0.0,1.0,0.0,1.0,250440.55,0.52,250440.55
1.0,1.0,0.0,1.0,250441.19,0.636,250441.19
0.0,1.0,0.0,1.0,250441.75,0.556,250441.75
1.0,1.0,0.0,1.0,250442.39,0.64,250442.39
0.0,1.0,0.0,1.0,250442.9,0.524,250442.9
1.0,1.0,0.0,1.0,250443.53,0.624,250443.53
0.0,1.0,0.0,1.0,250444.08,0.54,250444.08
1.0,1.0,0.0,1.0,250444.72,0.644,250444.72
0.0,1.0,0.0,1.0,250447.27,2.548,250447.27
1.0,1.0,0.0,1.0,250448.16,0.896,250448.16
0.0,1.0,0.0,1.0,250448.67,0.508,250448.67
1.0,1.0,0.0,1.0,250449.28,0.62,250449.28
0.0,1.0,0.0,1.0,250449.78,0.496,250449.78
1.0,1.0,0.0,1.0,250450.42,0.64,250450.42
0.0,1.0,0.0,1.0,250450.92,0.504,250450.92
1.0,1.0,0.0,1.0,250451.55,0.612,250451.55
0.0,1.0,0.0,1.0,250452.06,0.516,250452.06
1.0,1.0,0.0,1.0,250452.66,0.608,250452.66
